source_id,name_en,name_ms,name_default,feature_type,accessibility_type,wheelchair,tactile_paving,shelter,covered,bench,kerb,stroller,geom_type,geom_wkt,raw_properties
node/9596203092,Subang Skypark Terminal,,Subang Skypark Terminal,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.5540012 3.1333388),"{""@id"":""node/9596203092"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Subang Skypark Terminal"",""name:en"":""Subang Skypark Terminal"",""network"":""Rapid KL"",""network:wikidata"":""Q3271384"",""operator"":""Prasarana Malaysia"",""operator:wikidata"":""Q4209298"",""public_transport"":""platform"",""ref"":""SA909"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9596306244,LRT Ara Damansara,LRT Ara Damansara,LRT Ara Damansara,bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.5860574 3.107531),"{""@id"":""node/9596306244"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""LRT Ara Damansara"",""name:en"":""LRT Ara Damansara"",""name:ms"":""LRT Ara Damansara"",""name:zh"":""阿拉白沙罗轻快铁站"",""name:zh-Hans"":""阿拉白沙罗轻快铁站"",""name:zh-Hant"":""阿拉白沙羅輕快鐵站"",""network"":""LRT Feeder Bus"",""operator"":""Rapid Bus"",""public_transport"":""platform"",""ref"":""PJ609"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
node/9596308100,,,Oasis Corporate Park,bus_stop,wheelchair_stop,yes,yes,yes,,yes,,,Point,POINT(101.5762311 3.1131427),"{""@id"":""node/9596308100"",""asset_ref"":""Jabatan Kerajaan Tempatan"",""bench"":""yes"",""bicycle"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Oasis Corporate Park"",""network"":""MRT Feeder Bus;Rapid KL Bus"",""old_name"":""Oasis Ara Damansara (Timur)"",""operator"":""Rapid Bus"",""public_transport"":""platform"",""ref"":""PJ401"",""route"":""T807"",""shelter"":""yes"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
node/9599547884,,,SK Rawang,bus_stop,wheelchair_stop,yes,no,no,,yes,,,Point,POINT(101.5699114 3.3162824),"{""@id"":""node/9599547884"",""bench"":""yes"",""bin"":""no"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""SK Rawang"",""public_transport"":""platform"",""ref"":""SL432"",""shelter"":""no"",""shelter_type"":""public_transport"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9605916038,,Taman Garing,Taman Garing,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.563618 3.322467),"{""@id"":""node/9605916038"",""bench"":""yes"",""bin"":""no"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Taman Garing"",""name:ms"":""Taman Garing"",""network"":""Rapid KL On-Demand"",""on_demand"":""yes"",""operator"":""Rapid Bus"",""public_transport"":""platform"",""ref"":""SL437"",""route_ref"":""T159B"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9610301771,,,Bandar Country Homes Market,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.5267322 3.3273627),"{""@id"":""node/9610301771"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Bandar Country Homes Market"",""public_transport"":""platform"",""ref"":""SL422"",""shelter"":""yes"",""shelter_type"":""public_transport"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9610301773,,,Duta Palms Resort,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.5293614 3.328281),"{""@id"":""node/9610301773"",""bench"":""yes"",""bin"":""no"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Duta Palms Resort"",""public_transport"":""platform"",""ref"":""SL420"",""shelter"":""yes"",""shelter_type"":""public_transport"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9610322336,,,Palma Apartment,bus_stop,wheelchair_stop,yes,yes,no,,no,,,Point,POINT(101.5373311 3.3270963),"{""@id"":""node/9610322336"",""bench"":""no"",""bin"":""no"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Palma Apartment"",""public_transport"":""platform"",""ref"":""SL418"",""shelter"":""no"",""shelter_type"":""public_transport"",""tactile_paving"":""yes"",""wheelchair"":""yes""}"
node/9621280529,,Komersial Taman Garing (Opp),Komersial Taman Garing (Opp),bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.5615549 3.3272009),"{""@id"":""node/9621280529"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Komersial Taman Garing (Opp)"",""name:ms"":""Komersial Taman Garing (Opp)"",""public_transport"":""platform"",""ref"":""SL417"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
node/9642761421,,Komersial BRP 7,Komersial BRP 7,bus_stop,wheelchair_stop,yes,no,yes,,yes,,,Point,POINT(101.558521 3.2294106),"{""@id"":""node/9642761421"",""bench"":""yes"",""bin"":""yes"",""bus"":""yes"",""departures_board"":""no"",""highway"":""bus_stop"",""name"":""Komersial BRP 7"",""name:ms"":""Komersial BRP 7"",""network"":""Smart Selangor Bus"",""operator"":""Rapid Bus"",""passenger_information_display"":""yes"",""public_transport"":""platform"",""route_ref"":""T101"",""shelter"":""yes"",""tactile_paving"":""no"",""wheelchair"":""yes""}"
